20230306-CD,20230306-E,20230306-M,20230312-CD,20230312-E,20230312-M,20230707-CD,20230707-E,20230707-M,20230922-CD,20230922-E,20230922-M
157.0,211.0,,160.0,71.0,,32.5,,,62.7,40.6,
331.0,71.39999999999999,,330.0,130.0,,36.3,,,45.2,66.0,
341.0,125.00000000000001,,520.0,100.0,,49.3,,,52.199999999999996,135.0,
519.0,102.0,,160.0,47.0,,28.2,,,100.0,44.3,
157.0,46.9,,450.0,89.0,,68.5,,,49.8,723.0,
453.0,88.7,,460.0,19.0,,30.3,,,85.1,103.0,
460.0,19.1,,19.0,52.0,,64.0,,,51.1,170.0,
18.7,52.4,,29.0,62.00000000000001,,74.39999999999999,,,49.3,55.0,
28.5,61.8,,450.0,67.0,,103.0,,,72.9,69.2,
450.0,67.5,,59.0,170.0,,29.400000000000002,,,221.0,36.5,
58.9,168.0,,45.0,31.000000000000004,,113.0,,,72.8,136.0,
45.1,31.1,,32.0,140.0,,206.0,,,224.0,320.0,
32.2,142.0,,780.0,36.0,,96.39999999999999,,,74.60000000000001,113.0,
777.0,36.0,,52.0,42.0,,35.6,,,131.0,516.0,
51.8,42.0,,36.0,27.0,,168.0,,,71.0,51.8,
35.800000000000004,27.099999999999998,,190.0,100.0,,32.9,,,94.5,37.9,
190.0,104.0,,18.0,50.0,,160.0,,,90.69999999999999,72.7,
17.599999999999998,50.3,,52.0,68.0,,78.3,,,96.0,119.0,
51.6,67.7,,35.0,41.0,,42.9,,,60.199999999999996,751.0,
34.7,40.900000000000006,,340.0,12.0,,74.30000000000001,,,37.1,97.2,
338.0,12.4,,270.0,68.0,,30.200000000000003,,,57.8,134.0,
269.0,68.10000000000001,,130.0,49.0,,47.300000000000004,,,46.9,45.5,
128.0,49.099999999999994,,48.0,69.0,,31.800000000000004,,,57.4,128.0,
48.5,69.2,,280.0,62.00000000000001,,103.0,,,69.6,137.0,
280.0,61.6,,250.00000000000003,54.0,,22.3,,,77.80000000000001,55.0,
255.0,54.300000000000004,,450.0,42.0,,37.0,,,211.0,40.699999999999996,
446.0,42.2,,190.0,260.0,,63.0,,,94.3,23.5,
192.0,263.0,,1000.0000000000001,31.000000000000004,,67.2,,,61.3,241.0,
