Filename	Index	X Min [m]	X Max [m]	Contour Length [m]	Bending Length [m]	Stretch Modulus	Residual RMS [N]	Breaking Force [N]	Critical Loading Rate [N/s]
force-save-2023.07.02-16.26.30.420.jpk-force	0	2.94728e-08	2.85466e-07	3.45895e-07	1.94951e-10		8.50071e-12	1.85101e-10	6.69258e-09
force-save-2023.07.02-16.26.30.420.jpk-force	1	2.98168e-07	3.40789e-07	4.38722e-07	1.04124e-10		8.40170e-12	2.19177e-10	4.96824e-09
force-save-2023.07.02-16.26.43.124.jpk-force	0	5.95218e-09	5.25142e-08	7.45990e-08	2.67919e-10		1.00082e-11	5.08010e-11	4.97776e-09
force-save-2023.07.02-16.26.43.124.jpk-force	1	5.82008e-08	8.59838e-08	1.17666e-07	2.54870e-10		1.05697e-11	6.34592e-11	4.40756e-09
force-save-2023.07.02-16.26.43.124.jpk-force	2	9.07032e-08	1.11713e-07	1.40757e-07	3.92275e-10		8.80553e-12	6.73208e-11	5.13126e-09
force-save-2023.07.02-16.27.01.827.jpk-force	0	1.79171e-10	1.13470e-08	2.39522e-08	4.44001e-11		8.29284e-12	1.04432e-10	1.57815e-08
force-save-2023.07.02-16.27.01.827.jpk-force	1	3.97118e-08	2.81079e-07	3.10474e-07	1.23672e-09		7.56973e-12	9.50075e-11	7.17787e-09
force-save-2023.07.02-16.27.01.827.jpk-force	2	2.98078e-07	3.75548e-07	5.18402e-07	4.08192e-10		6.75572e-12	3.79845e-11	6.28459e-10
force-save-2023.07.02-16.27.46.262.jpk-force	0	2.43804e-08	2.35653e-07	3.81390e-07	5.46505e-11		9.33416e-12	1.56672e-10	2.41320e-09
force-save-2023.07.02-16.27.52.505.jpk-force	0	1.71200e-08	1.69044e-07	3.80888e-07	2.55507e-11		8.53732e-12	1.61427e-10	2.03972e-09
force-save-2023.07.02-16.30.28.520.jpk-force	0	1.81481e-08	1.81241e-07	8.68386e-07	7.99586e-12		7.79031e-12	1.84295e-10	1.45467e-09
force-save-2023.07.02-16.30.28.520.jpk-force	1	1.99042e-07	3.24464e-07	6.11869e-07	1.89621e-11		1.20936e-11	3.06825e-10	2.47140e-09
force-save-2023.07.02-16.30.40.969.jpk-force	0	2.26863e-08	2.21009e-07	5.29356e-07	1.79537e-11		8.66898e-12	2.07341e-10	1.84938e-09
force-save-2023.07.02-16.31.12.109.jpk-force	0	4.36522e-08	4.32426e-07	9.39813e-07	5.79476e-11		7.64246e-12	7.58556e-11	3.92255e-10
force-save-2023.07.02-16.31.15.328.jpk-force	0	1.08256e-10	7.65551e-07	8.37393e-07	2.94809e-09		1.01328e-11	4.83544e-11	1.59290e-09
force-save-2023.07.02-16.32.17.298.jpk-force	0	7.39838e-08	6.33413e-07	8.62665e-07	9.43591e-11		2.94069e-11	1.75555e-10	1.69337e-09
force-save-2023.07.02-16.32.17.298.jpk-force	1	6.50041e-07	7.79140e-07	37.0419	8.01293e-19		1.14765e-11	1.62148e-10	2.59549e-10
force-save-2023.07.02-16.32.38.854.jpk-force	0	6.16195e-08	6.13722e-07	1.11368e-06	6.67356e-11		8.27344e-12	9.50873e-11	4.51134e-10
force-save-2023.07.02-16.36.18.080.jpk-force	0	1.73685e-07	1.39412e-06	1.72360e-06	2.66806e-10		1.13791e-11	1.14172e-10	8.68733e-10
force-save-2023.07.02-16.36.33.686.jpk-force	0	1.13038e-10	1.16230e-07	6.14425e-07	5.47979e-12		8.20539e-12	2.39955e-10	3.02743e-09
force-save-2023.07.02-16.37.17.518.jpk-force	0	1.13609e-07	1.12365e-06	1.20062e-06	5.45427e-09		1.10759e-11	4.64225e-11	1.55671e-09
force-save-2023.07.02-16.37.48.163.jpk-force	0	6.34836e-08	6.06907e-07	6.80002e-07	3.44763e-09		7.49028e-12	2.66005e-11	9.46945e-10
force-save-2023.07.02-16.37.51.384.jpk-force	0	1.40671e-07	1.36061e-06	1.53226e-06	4.56409e-09		7.90468e-12	1.85435e-11	2.84722e-10
