Filename	Position Index	X Position	Y Position	Baseline Offset [N]	Baseline Slope [N/m]	Contact Point Offset [m]	Adhesion [N]	Minimum Value [N]	Minimum Position [m]	Filter Group	Area [J]	Lower Bound [m]	Upper Bound [m]	Fitted Segment Count
force-save-2023.07.02-17.07.38.449.jpk-force	29	5.40000e-06	-3.00000e-06	2.48239e-09	-1.75969e-05	8.45627e-06	2.45516e-11	-2.45516e-11	8.58649e-07	0	3.99278e-18	5.82644e-06	6.19405e-06	0
force-save-2023.07.02-17.07.57.927.jpk-force	29	5.40000e-06	-3.00000e-06	2.34319e-09	-1.12398e-05	7.70923e-06	4.03723e-11	-4.03723e-11	3.96957e-06	0	5.73706e-18	3.69794e-06	3.98246e-06	1
force-save-2023.07.02-17.08.02.815.jpk-force	30	5.40000e-06	-1.80000e-06	2.35421e-09	-1.33028e-05	8.63883e-06	2.76051e-11	-2.76051e-11	5.56438e-06	0	3.20055e-18	5.31470e-06	5.58313e-06	0
force-save-2023.07.02-17.08.36.310.jpk-force	30	5.40000e-06	-1.80000e-06	2.36544e-09	-2.30173e-05	7.42481e-06	3.00933e-10	-3.00933e-10	5.35546e-06	0	1.41858e-16	4.31035e-06	6.02999e-06	3
force-save-2023.07.02-17.09.24.548.jpk-force	31	4.20000e-06	-1.80000e-06	2.09441e-09	-1.16022e-05	6.81932e-06	7.73036e-11	-7.73036e-11	5.65919e-06	0	4.85336e-17	4.22395e-06	5.67558e-06	2
force-save-2023.07.02-17.10.04.194.jpk-force	32	3.00000e-06	-1.80000e-06	2.06305e-09	-2.05274e-05	8.20916e-06	2.55928e-11	-2.55928e-11	2.53981e-06	0	6.45072e-19	5.79641e-06	5.89372e-06	0
force-save-2023.07.02-17.10.28.628.jpk-force	32	3.00000e-06	-1.80000e-06	1.96405e-09	-1.93130e-05	8.06236e-06	2.97784e-11	-2.97784e-11	1.00203e-06	0	1.36717e-18	6.23826e-06	6.36887e-06	0
force-save-2023.07.02-17.10.38.144.jpk-force	32	3.00000e-06	-1.80000e-06	1.88148e-09	-1.41915e-05	8.06167e-06	3.45271e-11	-3.45271e-11	8.96164e-07	0	3.35453e-18	3.50471e-06	3.75013e-06	0
force-save-2023.07.02-17.10.47.517.jpk-force	32	3.00000e-06	-1.80000e-06	1.86106e-09	-1.70113e-05	8.43197e-06	3.95779e-11	-3.95779e-11	9.83881e-07	0	4.07684e-18	5.71588e-06	6.06844e-06	0
force-save-2023.07.02-17.10.52.415.jpk-force	33	1.80000e-06	-1.80000e-06	1.78073e-09	-1.07722e-05	9.34420e-06	2.80339e-11	-2.80339e-11	3.33113e-06	0	1.30624e-18	3.26605e-06	3.38999e-06	0
force-save-2023.07.02-17.12.06.515.jpk-force	34	6.00000e-07	-1.80000e-06	1.54414e-09	-7.69722e-06	7.43568e-06	2.54209e-11	-2.54209e-11	5.36264e-06	0	2.16029e-18	5.19666e-06	5.42429e-06	0
force-save-2023.07.02-17.12.16.737.jpk-force	34	6.00000e-07	-1.80000e-06	1.52946e-09	-1.12715e-05	6.40248e-06	3.70033e-11	-3.70033e-11	1.00132e-06	0	2.89060e-18	5.61074e-06	5.88314e-06	0
force-save-2023.07.02-17.12.26.508.jpk-force	34	6.00000e-07	-1.80000e-06	1.50999e-09	-1.28045e-05	6.06153e-06	2.68590e-11	-2.68590e-11	5.74039e-06	0	3.55580e-18	5.26506e-06	5.65454e-06	0
force-save-2023.07.02-17.12.36.061.jpk-force	34	6.00000e-07	-1.80000e-06	1.45089e-09	-7.39535e-06	6.00853e-06	4.29799e-11	-4.29799e-11	3.16240e-06	0	1.08973e-17	2.85093e-06	3.33394e-06	1
force-save-2023.07.02-17.12.40.960.jpk-force	35	-6.00000e-07	-1.80000e-06	1.48499e-09	-1.97958e-05	5.95193e-06	5.81672e-11	-5.81672e-11	5.35690e-06	0	3.15839e-17	4.19066e-06	5.46415e-06	1
force-save-2023.07.02-17.13.04.753.jpk-force	35	-6.00000e-07	-1.80000e-06	1.41892e-09	-1.34039e-05	5.91890e-06	1.23477e-10	-1.23477e-10	3.00821e-06	0	2.95038e-17	2.15728e-06	3.02139e-06	2
force-save-2023.07.02-17.13.24.170.jpk-force	35	-6.00000e-07	-1.80000e-06	1.28962e-09	-1.21448e-05	5.44880e-06	3.29204e-11	-3.29204e-11	1.10387e-06	0	2.60084e-18	9.72966e-07	1.20862e-06	0
force-save-2023.07.02-17.13.44.563.jpk-force	36	-1.80000e-06	-1.80000e-06	1.39753e-09	-4.60270e-05	2.90582e-06	4.94427e-10	-4.94427e-10	3.60191e-06	0	5.64859e-16	1.61988e-06	4.57335e-06	10
force-save-2023.07.02-17.13.54.557.jpk-force	36	-1.80000e-06	-1.80000e-06	1.23170e-09	-2.05315e-05	2.19284e-06	1.09131e-10	-1.09131e-10	3.18194e-06	0	2.88422e-17	2.24104e-06	3.29312e-06	1
force-save-2023.07.02-17.14.14.539.jpk-force	36	-1.80000e-06	-1.80000e-06	1.14406e-09	-1.43239e-05	1.22254e-06	2.08966e-11	-2.08966e-11	4.56491e-06	0	1.25978e-18	4.50986e-06	4.66436e-06	0
force-save-2023.07.02-17.14.19.468.jpk-force	37	-3.00000e-06	-1.80000e-06	1.09066e-09	-1.07618e-05	9.50108e-08	2.82623e-11	-2.82623e-11	5.26216e-06	0	2.64914e-18	5.10873e-06	5.30999e-06	0
force-save-2023.07.02-17.15.18.697.jpk-force	37	-3.00000e-06	-1.80000e-06	8.53061e-10	-1.12552e-05	7.19593e-06	7.25622e-10	-7.25622e-10	3.24385e-06	0	2.52594e-16	1.80111e-06	3.93071e-06	5
force-save-2023.07.02-17.15.28.533.jpk-force	37	-3.00000e-06	-1.80000e-06	9.55495e-10	-2.13038e-05	6.46475e-06	3.67388e-11	-3.67388e-11	3.26201e-06	0	5.97160e-17	9.92089e-07	4.55686e-06	0
force-save-2023.07.02-17.15.38.419.jpk-force	37	-3.00000e-06	-1.80000e-06	8.06619e-10	-1.20322e-05	6.08529e-06	3.76830e-11	-3.76830e-11	2.19762e-06	0	5.66570e-18	1.98024e-06	2.28878e-06	0
force-save-2023.07.02-17.15.48.246.jpk-force	37	-3.00000e-06	-1.80000e-06	7.57188e-10	-1.32611e-05	6.07121e-06	6.74814e-10	-6.74814e-10	2.44023e-06	0	1.99193e-16	1.45472e-06	2.46322e-06	2
