Filename	Position Index	X Position	Y Position	Baseline Offset [N]	Baseline Slope [N/m]	Contact Point Offset [m]	Adhesion [N]	Minimum Value [N]	Minimum Position [m]	Filter Group	Area [J]	Lower Bound [m]	Upper Bound [m]	Fitted Segment Count
force-save-2023.07.02-18.16.01.266.jpk-force	42	-3.00000e-06	-6.00000e-07	1.08869e-09	-3.64095e-05	1.35380e-06	2.80131e-11	-2.80131e-11	1.69930e-06	0	1.34634e-18	1.62518e-06	1.76186e-06	0
force-save-2023.07.02-18.16.07.802.jpk-force	42	-3.00000e-06	-6.00000e-07	1.01009e-09	-1.74148e-05	1.36611e-06	1.77947e-11	-1.77947e-11	1.31750e-06	0	3.43038e-19	9.31281e-07	9.89060e-07	0
force-save-2023.07.02-18.16.12.023.jpk-force	42	-3.00000e-06	-6.00000e-07	1.00631e-09	-1.85936e-05	1.20334e-06	2.05839e-11	-2.05839e-11	4.66233e-07	0	7.07857e-19	7.66691e-07	8.71582e-07	0
force-save-2023.07.02-18.16.16.248.jpk-force	42	-3.00000e-06	-6.00000e-07	1.02598e-09	-2.09917e-05	1.23241e-06	2.06942e-11	-2.06942e-11	7.15064e-07	0	4.50680e-19	6.89728e-07	7.56449e-07	0
force-save-2023.07.02-18.16.20.478.jpk-force	42	-3.00000e-06	-6.00000e-07	1.02334e-09	-2.02990e-05	1.22186e-06	2.76660e-11	-2.76660e-11	8.39136e-07	0	1.37943e-18	1.07216e-06	1.19287e-06	0
force-save-2023.07.02-18.16.22.697.jpk-force	43	-1.80000e-06	-6.00000e-07	1.02628e-09	-2.52197e-05	7.77662e-07	2.18928e-11	-2.18928e-11	3.76576e-07	0	1.01173e-18	1.55841e-06	1.68520e-06	0
force-save-2023.07.02-18.16.29.218.jpk-force	43	-1.80000e-06	-6.00000e-07	1.00655e-09	-2.29830e-05	7.39042e-07	2.05742e-11	-2.05742e-11	4.82239e-07	0	2.89751e-19	1.74878e-06	1.80275e-06	0
force-save-2023.07.02-18.16.33.436.jpk-force	43	-1.80000e-06	-6.00000e-07	9.88771e-10	-2.45201e-05	7.49698e-07	1.88946e-11	-1.88946e-11	1.07745e-06	0	4.54400e-19	1.04979e-06	1.10493e-06	0
force-save-2023.07.02-18.16.37.670.jpk-force	43	-1.80000e-06	-6.00000e-07	9.61958e-10	-2.68804e-05	8.01853e-07	2.05366e-11	-2.05366e-11	9.47340e-07	0	4.04436e-19	6.34452e-07	6.88157e-07	0
force-save-2023.07.02-18.16.41.896.jpk-force	43	-1.80000e-06	-6.00000e-07	9.51038e-10	-2.39974e-05	6.37258e-07	2.05785e-11	-2.05785e-11	4.57126e-07	0	2.39865e-19	7.68953e-07	8.03484e-07	0
force-save-2023.07.02-18.16.44.119.jpk-force	44	-6.00000e-07	-6.00000e-07	9.20699e-10	-2.71397e-05	2.11470e-07	1.99232e-11	-1.99232e-11	4.44214e-07	0	2.71614e-19	4.88866e-07	5.27935e-07	0
force-save-2023.07.02-18.16.50.595.jpk-force	44	-6.00000e-07	-6.00000e-07	8.92647e-10	-2.16686e-05	3.37447e-07	2.32546e-11	-2.32546e-11	6.20193e-07	0	1.18504e-18	5.91096e-07	7.19331e-07	0
force-save-2023.07.02-18.16.54.841.jpk-force	44	-6.00000e-07	-6.00000e-07	8.81717e-10	-1.52312e-05	2.35319e-07	2.02207e-11	-2.02207e-11	4.00333e-07	0	2.38556e-19	8.56780e-07	8.93452e-07	0
force-save-2023.07.02-18.16.59.036.jpk-force	44	-6.00000e-07	-6.00000e-07	8.94454e-10	-3.00645e-05	8.18539e-08	2.69010e-11	-2.69010e-11	4.70762e-07	0	1.61445e-18	3.89803e-07	5.50841e-07	0
force-save-2023.07.02-18.17.20.253.jpk-force	45	6.00000e-07	-6.00000e-07	7.70940e-10	-1.65028e-05	-1.47229e-07	2.25062e-11	-2.25062e-11	5.67751e-07	0	5.43713e-19	5.42979e-07	6.08131e-07	0
force-save-2023.07.02-18.17.24.480.jpk-force	45	6.00000e-07	-6.00000e-07	7.63260e-10	-2.22102e-05	-2.58993e-07	4.31054e-11	-4.31054e-11	1.02783e-07	1	1.49988e-18	3.44761e-08	1.06001e-07	1
