Filename,Index,X Min [m],X Max [m],Contour Length [nm],Bending Length [pm],Stretch Modulus,Residual RMS [pN],Breaking Force [pN],Critical Loading Rate [N/s]
force-save-2023.03.06-19.23.22.728.jpk-force,1.0,3e-07,4.9e-07,1799.9999999999998,22.0,,9.0,96.0,3.3e-10
force-save-2023.03.06-19.08.56.086.jpk-force,1.0,1e-07,3.2e-07,359.99999999999994,1200.0,,9.0,56.0,3e-09
force-save-2023.03.06-19.12.25.517.jpk-force,0.0,1.7e-11,3.8e-07,650.0,180.0,,9.0,39.0,3.5e-10
force-save-2023.03.06-19.00.46.535.jpk-force,4.0,6e-07,7.9e-07,1199.9999999999998,81.0,,9.0,120.0,6.2e-10
force-save-2023.03.06-18.58.43.344.jpk-force,3.0,8.3e-07,8.6e-07,1199.9999999999998,67.0,,8.9,230.0,1.7e-09
force-save-2023.03.06-18.57.36.569.jpk-force,1.0,7.5e-07,1.1e-06,1300.0,280.0,,8.9,110.0,1.2e-09
force-save-2023.03.06-19.26.00.957.jpk-force,0.0,2.7e-10,1.2e-07,339.99999999999994,71.0,,8.9,40.0,6.3e-10
force-save-2023.03.06-19.26.06.502.jpk-force,0.0,2.4e-08,2.4e-07,509.99999999999994,41.0,,8.799999999999999,110.0,1.1e-09
force-save-2023.03.06-19.45.32.903.jpk-force,0.0,9.6e-08,9.4e-07,1499.9999999999998,120.0,,8.799999999999999,80.0,3.7e-10
force-save-2023.03.06-19.07.13.800.jpk-force,2.0,2.8e-07,2.9e-07,419.99999999999994,160.0,,8.7,82.0,1.6e-09
force-save-2023.03.06-19.49.33.579.jpk-force,0.0,7.2e-08,6.9e-07,809.9999999999999,1800.0,,8.6,28.0,6.4e-10
force-save-2023.03.06-19.21.55.755.jpk-force,0.0,5.7e-08,5.5e-07,2399.9999999999995,28.0,,8.6,57.0,1.7e-10
force-save-2023.03.06-19.35.49.060.jpk-force,1.0,1.5e-07,2.9e-07,770.0,29.0,,8.5,110.0,7.7e-10
force-save-2023.03.06-19.12.42.130.jpk-force,3.0,6.5e-07,6.7e-07,849.9999999999999,180.0,,8.5,150.0,2e-09
force-save-2023.03.06-19.24.54.539.jpk-force,0.0,1.8e-08,1.7e-07,339.99999999999994,90.0,,8.5,58.0,8.9e-10
force-save-2023.03.06-19.13.04.413.jpk-force,3.0,5.4e-07,6e-07,759.9999999999999,180.0,,8.4,130.0,1.8e-09
force-save-2023.03.06-19.03.44.279.jpk-force,0.0,5.9e-08,5.9e-07,1100.0,37.0,,8.299999999999999,160.0,8e-10
force-save-2023.03.06-19.14.10.979.jpk-force,0.0,1.2e-07,1.2e-06,2399.9999999999995,210.0,,8.299999999999999,24.0,5.3e-11
force-save-2023.03.06-19.23.42.324.jpk-force,2.0,6.5e-07,7.6e-07,999.9999999999999,110.0,,8.299999999999999,150.0,1.3e-09
force-save-2023.03.06-18.59.50.470.jpk-force,1.0,5.7e-07,7.5e-07,1399.9999999999998,57.0,,8.2,99.0,3.8e-10
force-save-2023.03.06-19.21.16.554.jpk-force,0.0,6.6e-08,5.4e-07,660.0,1300.0,,8.2,25.0,5.4e-10
force-save-2023.03.06-19.15.11.709.jpk-force,2.0,6.3e-07,6.7e-07,909.9999999999999,64.0,,8.2,260.0,2.4e-09
