Filename,Index,X Min [m],X Max [m],Contour Length [nm],Bending Length [pm],Stretch Modulus,Residual RMS [pN],Breaking Force [pN],Critical Loading Rate [N/s]
force-save-2022.09.22-18.41.23.680.jpk-force,1,3.22e-07,7.23e-07,949.9999999999999,514.0,,8.209999999999999,39.1,4.22e-10
force-save-2022.09.22-18.39.19.018.jpk-force,2,4.47e-07,9.48e-07,1129.9999999999998,1330.0,,8.18,33.0,4.74e-10
force-save-2022.09.22-18.35.59.442.jpk-force,0,2.46e-07,2.46e-06,3409.9999999999995,63.800000000000004,,8.16,240.0,6.07e-10
force-save-2022.09.22-18.26.03.659.jpk-force,0,6.92e-08,6.73e-07,737.9999999999999,2300.0,,8.16,57.6,2.22e-09
force-save-2022.09.22-18.09.30.258.jpk-force,0,6.53e-08,5.93e-07,1140.0,138.0,,8.15,40.4,1.98e-10
force-save-2022.09.22-18.23.30.552.jpk-force,0,2.79e-07,2.69e-06,3019.9999999999995,810.0,,8.15,115.0,9.04e-10
force-save-2022.09.22-18.31.11.502.jpk-force,0,9.02e-08,9.01e-07,1269.9999999999998,367.0,,8.120000000000001,38.2,2.49e-10
force-save-2022.09.22-18.16.53.091.jpk-force,4,2.04e-07,2.25e-07,381.99999999999994,83.3,,8.11,89.8,1.36e-09
force-save-2022.09.22-18.14.59.998.jpk-force,0,3.82e-08,8.26e-07,1100.0,244.99999999999997,,8.11,75.3,6.69e-10
force-save-2022.09.22-18.42.41.909.jpk-force,0,8.29e-08,7.38e-07,901.9999999999999,539.0,,8.05,62.099999999999994,9.31e-10
force-save-2022.09.22-18.24.29.140.jpk-force,0,4.93e-08,1.14e-06,1549.9999999999998,545.0,,8.040000000000001,31.000000000000004,1.85e-10
force-save-2022.09.22-18.11.09.452.jpk-force,5,3.79e-07,5.43e-07,684.0,288.0,,8.040000000000001,92.0,1.55e-09
force-save-2022.09.22-18.14.30.621.jpk-force,3,9.47e-07,1.18e-06,1579.9999999999998,240.0,,8.02,76.3,4.73e-10
force-save-2022.09.22-18.35.12.892.jpk-force,0,2.65e-07,2.6e-06,3210.0,306.0,,8.02,99.8,4.06e-10
force-save-2022.09.22-18.27.55.756.jpk-force,0,5.61e-08,5.54e-07,1289.9999999999998,26.6,,8.0,147.0,5.97e-10
force-save-2022.09.22-18.36.48.352.jpk-force,4,2.24e-06,2.6e-06,3259.9999999999995,516.0,,8.0,54.4,2.06e-10
force-save-2022.09.22-18.32.29.098.jpk-force,0,3.46e-08,3.39e-07,830.9999999999999,62.4,,7.9799999999999995,57.5,3.64e-10
